surface,radius_mm,conic,thickness_mm,material_post,is_stop
0,inf,,infinity,<optiland.materials.ideal.IdealMaterial object at 0x7c2b970951d0>,False
1,inf,,485.9307713028643,<optiland.materials.ideal.IdealMaterial object at 0x7c2b970952b0>,True
2,-1494.58213974343,-1.161066819436382,-482.9307713028643,<optiland.materials.ideal.IdealMaterial object at 0x7c2b970952b0>,False
3,-862.6493953299338,-7.106145183766042,482.9307713028643,<optiland.materials.ideal.IdealMaterial object at 0x7c2b970952b0>,False
4,inf,,199.9368131909033,<optiland.materials.ideal.IdealMaterial object at 0x7c2b97095550>,False
5,inf,,0.0,<optiland.materials.ideal.IdealMaterial object at 0x7c2b97095630>,False
