index,radius_mm,thickness_mm,conic,material_after,screen_radius_mm
0,inf,inf,0,air,
1,-896.6603856442351,-228.8335036622672,-0.6383070282144638,mirror,64.04862085086489
2,-927.3879443756781,284.83280658263226,0.0,mirror,34.41936210693512
3,-456.3784708256317,4,0.0,N-BK7,16.75676082218577
4,-190.82343217594877,2.922297425735615,0.0,air,16.75676082218577
5,82.1164197972468,3,0.0,N-F2,16.218056731591908
6,70.14891071810844,113.69275698121331,0.0,air,16.218056731591908
7,inf,0.0,0,air,
