surface,radius_mm,conic,thickness_mm,material_post,is_stop
0,infinity,,infinity,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4d8050>,False
1,infinity,,283.2341512018931,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4d81a0>,True
2,-747.291069871715,-0.9979443499616872,-280.2341512018931,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4d81a0>,False
3,-186.82276746792874,-0.9919050237101056,280.2341512018931,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4d81a0>,False
4,infinity,,45.0,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4d8590>,False
5,infinity,,198.458447263412,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4d86e0>,False
6,infinity,,0.0,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4d87c0>,False
