surface,radius_mm,conic,thickness_mm,material_post,is_stop
0,infinity,,infinity,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4aa580>,False
1,infinity,,262.47606592767886,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4aa6d0>,True
2,-622.7425582264292,-1.0,-259.47606592767886,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4aa6d0>,False
3,-103.79042637107153,-1.0,259.47606592767886,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4aa6d0>,False
4,infinity,,45.0,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4aaac0>,False
5,infinity,,132.36714975845413,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4aac10>,False
6,infinity,,0.0,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4aacf0>,False
