surface,radius_mm,conic,thickness_mm,material_post,is_stop
0,infinity,,infinity,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4a9d30>,False
1,infinity,,283.2341512018931,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4a9e80>,True
2,-747.291069871715,-1.0,-280.2341512018931,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4a9e80>,False
3,-186.82276746792874,-1.0,280.2341512018931,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4a9e80>,False
4,infinity,,45.0,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4aa200>,False
5,infinity,,198.55072463768118,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4aa350>,False
6,infinity,,0.0,<optiland.materials.ideal.IdealMaterial object at 0x7b002a4aa430>,False
