surface,radius_mm,conic,thickness_mm,material_post,is_stop
0,infinity,,infinity,<optiland.materials.ideal.IdealMaterial object at 0x784f9cb2fbd0>,False
1,infinity,,18.0,<optiland.materials.ideal.IdealMaterial object at 0x784f9cb2cf30>,True
2,-3200.0,-1.0,-1400.0,<optiland.materials.ideal.IdealMaterial object at 0x784f9cb2cf30>,False
3,infinity,,-60.25711138672182,<optiland.materials.ideal.IdealMaterial object at 0x784f9cb2d080>,False
4,-389.1167857153238,0.0,-6.0,"Material(name='fused_silica', λ=[0.21µm, 6.70µm])",False
5,-4637.951837650795,0.0,-5.161171890823233,<optiland.materials.ideal.IdealMaterial object at 0x784f9cb2f7e0>,False
6,-344.88209921133796,0.0,-5.0,"Material(name='LITHOTEC-CAF2', λ=[0.25µm, 2.50µm])",False
7,-111.09310676006984,0.0,-149.95287493443405,<optiland.materials.ideal.IdealMaterial object at 0x784f9cb2d320>,False
8,infinity,,0.0,<optiland.materials.ideal.IdealMaterial object at 0x784f9cb2d390>,False
